author,score
"Lee, Jennette, 1860-1951",0.24893537097507032
"Leroux, Gaston, 1868-1927",-0.5260065095178011
"Lewis, Alfred Henry, 1857-1914",0.2741145943635261
"Lewis, Sinclair, 1885-1951",0.008051654677401189
"Lincoln, Joseph Crosby, 1870-1944",0.35396464665730787
"Lindsay, David, 1876-1945",-0.08864526226095965
"Locke, William John, 1863-1930",0.13938542097312964
"London, Jack, 1876-1916",0.46509910898005696
"Lowell, Amy, 1874-1925",1.6404914855957031
"Lyall, Edna, 1857-1903",-0.4331295439537533
"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",0.07880807708907923
"MacDonald, George, 1824-1905",-0.1363182890004125
"MacGrath, Harold, 1871-1932",0.5463938713073729
"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859",0.3715521723626722
"Marquis, Don, 1878-1937",0.22003043492635085
"Mason, Mary Murdoch; Miller, Joaquin, 1837-1913 [Contributor]",0.7969942092895506
"Maupassant, Guy de, 1850-1893",-0.059330633346070596
"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]",0.3217301238178246
"Mayo, Margaret, 1882-1951",0.6012313025338307
"McNeill, John Charles, 1874-1907",-1.922868728637695
"Melville, Herman, 1819-1891",0.1562435420739195
"Melville, Herman, 1819-1891; Stedman, Arthur Griffin, 1859-1908 [Editor]",-0.1477728486061097
"Meredith, George, 1828-1909",0.3255566537549069
"Merriman, Henry Seton, 1862-1903",0.28425908883412665
"Mitchell, S. Weir (Silas Weir), 1829-1914",0.53083798289299
"Mitford, Mary Russell, 1787-1855",-0.011750784264989596
"Molière, 1622-1673; Waller, A. R. (Alfred Rayney), 1867-1922 [Translator]",0.6855972607930502
"Montgomery, L. M. (Lucy Maud), 1874-1942",0.049806420047978736
"Moore, Frank Frankfort, 1855-1931",-0.37290337350633385
"Morley, Christopher, 1890-1957",0.4468219521340358
"Morris, Gouverneur, 1876-1953",0.5541413339336266
"Morris, William, 1834-1896",-0.10054976681628855
"Morrison, Harry Steele, 1880-",0.05005921257866744
"Mulford, Clarence Edward, 1883-1956",0.37233309629486827
"Mundy, Talbot, 1879-1940",0.15995944738388068
"Mérimée, Prosper, 1803-1870; Loyd, Mary, Lady, 1853-1936 [Translator]",0.45602320134639746
"Mühlbach, L. (Luise), 1814-1873",-0.07468155026435844
"Mühlbach, L. (Luise), 1814-1873; Greene, Nathaniel, 1797-1877 [Translator]",0.3096872325192129
"Nesbit, E. (Edith), 1858-1924",-0.01566537186339664
"Norris, Frank, 1870-1902",0.24836246410529755
