author,score
"Flaubert, Gustave, 1821-1880",3.2929732304699018
"Flint, Homer Eon, 1888-1924; Hall, Austin, 1885?-1933",4.376673532991993
"Ford, Ford Madox, 1873-1939",1.236427779670234
"Forster, E. M. (Edward Morgan), 1879-1970",2.3920388533398995
"Fox, John, Jr., 1862-1919",3.112054614845766
"France, Anatole, 1844-1924",3.145099401473999
"France, Anatole, 1844-1924; Douglas, Robert B. (Robert Bruce), 1848- [Translator]",3.942278845971372
"Frederic, Harold, 1856-1898",2.8151886019874457
"Freeman, Mary Eleanor Wilkins, 1852-1930",1.4327471821578508
"Gaboriau, Emile, 1832-1873",3.6833754985968445
"Galsworthy, John, 1867-1933",2.244726856079636
"Gillmore, Inez Haynes, 1873-1970",3.6468772093454995
"Gissing, George, 1857-1903",3.7021236695931
"Goethe, Johann Wolfgang von, 1749-1832; Boylan, R. Dillon [Translator]",3.230407313867049
"Gogol, Nikolai Vasilevich, 1809-1852; Hogarth, D. J. [Translator]",0.9297960354731626
"Gordon, Adam Lindsay, 1833-1870; Clarke, Marcus Andrew Hislop, 1846-1881 [Editor]",0.9394760131835932
"Grahame, Kenneth, 1859-1932",3.0986642716806148
"Green, Anna Katharine, 1846-1935",3.473711868812298
"Grey, Zane, 1872-1939",3.3206776712664325
"Groner, Auguste, 1850-1929; Colbron, Grace Isabel, 1869-1943 [Translator]",2.245583141551298
"Guðmundur Kamban, 1888-1945",5.8310112953186035
"Haggard, H. Rider (Henry Rider), 1856-1925",3.5789938026466226
"Hale, Lucretia P. (Lucretia Peabody), 1820-1900",1.174866844968098
"Harben, Will N. (Will Nathaniel), 1858-1919",4.302405307167454
"Hardy, Thomas, 1840-1928",2.766402488745353
"Harris, Joel Chandler, 1848-1908",2.361438751220703
"Harte, Bret, 1836-1902",3.130745808691879
"Hawthorne, Julian, 1846-1934",3.381424268086751
"Hawthorne, Nathaniel, 1804-1864",2.5725399547592733
"Hazlitt, William, 1778-1830",3.8265331586201987
"Hemphill, Vivia, 1889-1934",2.8285844753950067
"Herr, Charlotte B. (Charlotte Bronte), 1875-1963",1.883703168233235
"Hichens, Robert, 1864-1950",2.550052241361428
"Higginson, Thomas Wentworth, 1823-1911",3.180602025985718
"Holmes, Oliver Wendell, 1809-1894",2.6525264223082727
"Hope, Anthony, 1863-1933",3.798419545268455
"Housman, Laurence, 1865-1959",2.4753968824039805
"Howells, William Dean, 1837-1920",3.4978715024253195
"Hudson, W. H. (William Henry), 1841-1922",1.9508775075276688
"Hughes, Thomas, 1822-1896",2.3664144592285155
"Huxley, Aldous, 1894-1963",2.0979811852438406
"Hyne, Charles John Cutcliffe Wright, 1866-1944",1.353361474550687
"Ibsen, Henrik, 1828-1906; Archer, William, 1856-1924 [Translator]",2.9463172788205356
"Ibsen, Henrik, 1828-1906; Archer, William, 1856-1924 [Translator]; Gosse, Edmund, 1849-1928 [Translator]",2.737345713835496
"Irving, Washington, 1783-1859",1.2871403033916766
"Jackson, Helen Hunt, 1830-1885",4.202499568742206
"James, Henry, 1843-1916",2.6315302558061555
"Jerome, Jerome K. (Jerome Klapka), 1859-1927",2.7715136916549117
"Johnston, Mary, 1870-1936",2.773799488664339
"Jonson, Ben, 1573?-1637",3.0821390628814695
"Kilner, Dorothy, 1755-1836",3.891591928773007
"Kipling, Rudyard, 1865-1936",1.994253893322719
"Kipling, Rudyard, 1865-1936; Taber, I. W. (Isaac Walton), 1857-1933 [Illustrator]",3.2870853438096885
"La Motte-Fouqué, Friedrich Heinrich Karl, Freiherr de, 1777-1843",3.585139274597168
"La Motte-Fouqué, Friedrich Heinrich Karl, Freiherr de, 1777-1843; Yonge, Charlotte M. (Charlotte Mary), 1823-1901 [Author of introduction, etc.]",4.121303313119071
"Lamb, Charles, 1775-1834; Lamb, Mary, 1764-1847",3.2201178115710873
"Lang, Andrew, 1844-1912",3.7942627612240596
"Lawton, Frederick",0.8782392347644189
"Lazarus, Emma, 1849-1887",5.652547478675842
"Le Fanu, Joseph Sheridan, 1814-1873",3.5141665785954888
"Leacock, Stephen, 1869-1944",4.4355367861296005
"Lee, Jennette, 1860-1951",4.2045035574171274
"Leroux, Gaston, 1868-1927",1.3592179002432987
"Lewis, Alfred Henry, 1857-1914",1.4343005036996082
"Lewis, Sinclair, 1885-1951",2.451874995842958
"Lincoln, Joseph Crosby, 1870-1944",3.344195601574171
"Lindsay, David, 1876-1945",2.51452132999497
"Locke, William John, 1863-1930",2.310449830821303
"London, Jack, 1876-1916",3.6236067119397615
"Lowell, Amy, 1874-1925",4.64909553527832
"Lyall, Edna, 1857-1903",2.2769311398875955
"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",3.7723892023275187
"MacDonald, George, 1824-1905",2.9101932048797607
"MacGrath, Harold, 1871-1932",3.518601549082789
"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859",1.8533689205463115
"Marquis, Don, 1878-1937",4.531357653935751
"Mason, Mary Murdoch; Miller, Joaquin, 1837-1913 [Contributor]",4.77267370223999
"Maupassant, Guy de, 1850-1893",2.5067793866421315
"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]",3.8961435340278867
"Mayo, Margaret, 1882-1951",4.071670160795513
"McNeill, John Charles, 1874-1907",0.8013916015625
"Melville, Herman, 1819-1891",2.950232173656595
"Melville, Herman, 1819-1891; Stedman, Arthur Griffin, 1859-1908 [Editor]",3.834824323654175
"Meredith, George, 1828-1909",1.9909453371795265
"Merriman, Henry Seton, 1862-1903",3.4370729446411135
"Mitchell, S. Weir (Silas Weir), 1829-1914",4.824646863070401
"Mitford, Mary Russell, 1787-1855",1.8260972109707916
"Molière, 1622-1673; Waller, A. R. (Alfred Rayney), 1867-1922 [Translator]",4.672462145487468
"Montgomery, L. M. (Lucy Maud), 1874-1942",3.2284153357184784
"Moore, Frank Frankfort, 1855-1931",1.6254662951907595
"Morley, Christopher, 1890-1957",2.706440100509129
"Morris, Gouverneur, 1876-1953",2.3843798001607257
"Morris, William, 1834-1896",1.528112283567103
"Morrison, Harry Steele, 1880-",2.3292442819346553
"Mulford, Clarence Edward, 1883-1956",2.7927202431552383
"Mundy, Talbot, 1879-1940",3.6628383659734958
"Mérimée, Prosper, 1803-1870; Loyd, Mary, Lady, 1853-1936 [Translator]",3.758276935695678
"Mühlbach, L. (Luise), 1814-1873",1.3410497137478419
"Mühlbach, L. (Luise), 1814-1873; Greene, Nathaniel, 1797-1877 [Translator]",2.909198026521511
"Nesbit, E. (Edith), 1858-1924",2.6672447246509594
"Norris, Frank, 1870-1902",3.6148371752791517
"Norris, Kathleen Thompson, 1880-1966; Gilbert, C. Allan [Illustrator]",1.6676013486848458
"Norris, W. E. (William Edward), 1847-1925 [Contributor]; Oliphant, Laurence, 1829-1888 [Contributor]; Payn, James, 1830-1898 [Contributor]; Robinson, A. Mary F. (Agnes Mary Frances), 1857-1944 [Contributor]; Trollope, Anthony, 1815-1882 [Contributor]",2.138350942860479
"Olcott, Frances Jenkins, 1872-1963",3.3872952052525114
"Oppenheim, E. Phillips (Edward Phillips), 1866-1946",3.6885115730135065
"Page, Thomas Nelson, 1853-1922",2.495510358076829
"Paterson, A. B. (Andrew Barton), 1864-1941",3.2015686852591374
"Patterson, J. G",4.013012068612235
"Payne, John, 1842-1916 [Translator]",4.693193837216026
"Peacock, Thomas Love, 1785-1866",4.330810233338238
"Peattie, Elia Wilkinson, 1862-1935",3.568442811771315
"Pedler, Margaret, -1948",2.281173014640808
"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]",2.2756115306507456
"Pliny, the Younger, 61-112?; Bosanquet, Frederick Charles Tindal [Editor]; Melmoth, William, 1710?-1799 [Translator]",1.9024166238719016
"Plutarch, 46-120?",4.730877637863159
"Pyle, Howard, 1853-1911",2.5570698478074068
"Pérez Galdós, Benito, 1843-1920; Howells, William Dean, 1837-1920 [Author of introduction, etc.]; Serrano, Mary J. (Mary Jane), -1923 [Translator]",2.9347039315758683
"Rabelais, François, 1490?-1553?; Doré, Gustave, 1832-1883 [Illustrator]; Motteux, Peter Anthony, 1660-1718 [Translator]; Urquhart, Thomas, Sir, 1611-1660 [Translator]",2.7012676872125194
"Raine, William MacLeod, 1871-1954",4.578063728695824
"Raspe, Rudolf Erich, 1737-1794",3.2031044006347655
"Reade, Charles, 1814-1884",3.4672064447058046
"Reed, Myrtle, 1874-1911",2.9535567598435484
"Reeve, Clara, 1729-1807",4.124297142028809
"Rhodes, W. H. (William Henry), 1822-1876",3.0599321637834818
"Richardson, Major (John), 1796-1852",2.041045748201528
"Rinehart, Mary Roberts, 1876-1958",3.3460089585310975
"Rohmer, Sax, 1883-1959",3.0100413513183595
"Rousseau, Jean-Jacques, 1712-1778",3.6109191659020214
"Sabatini, Rafael, 1875-1950",3.818241885974647
"Saint-Pierre, Bernardin de, 1737-1814",0.8660163178163415
"Sand, George, 1804-1876; Young, Stanley [Translator]",3.718315547739966
"Schreiner, Olive, 1855-1920",2.517932464740028
"Scott, Leroy, 1875-1929",3.0621254332363605
"Scott, Walter, 1771-1832",2.348836738000529
